Event,Date,Time,Latitude,Longitude,Depth(km),Intensity,Magnitude,Type Mag,Location
es2022ldnvi,2022-06-08,10:28:07,28.2194,-16.7324,17.0,,1.5,4,E GUÍA DE ISORA.ITF
es2022lbwoa,2022-06-07,12:36:26,28.1335,-16.1011,8.0,,1.9,4,ATLÁNTICO-CANARIAS
es2022lbsal,2022-06-07,10:19:21,28.2869,-16.4685,7.0,,0.4,4,NW FASNIA.ITF
es2022lbfmy,2022-06-07,03:59:55,28.1423,-16.6625,10.0,,0.4,4,SW VILAFLOR DE CHASNA.ITF
es2022lbacq,2022-06-07,01:16:22,28.1541,-16.7377,5.0,,0.1,4,NW ADEJE.ITF
es2022kzlvy,2022-06-06,04:56:16,28.1386,-16.6714,9.0,,1.2,4,SW VILAFLOR DE CHASNA.ITF
es2022kzext,2022-06-06,01:26:15,27.9314,-16.2128,5.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022kxjyj,2022-06-05,01:42:30,28.1947,-16.4953,21.0,,1.4,4,NW ARICO.ITF
es2022kxgjh,2022-06-04,23:53:58,28.2437,-16.6832,13.0,,0.5,4,NE GUÍA DE ISORA.ITF
es2022kvole,2022-06-04,01:42:40,28.0486,-16.1888,8.0,,1.0,4,ATLÁNTICO-CANARIAS
es2022kvbji,2022-06-03,19:06:33,28.1592,-16.6499,9.0,,1.2,4,W VILAFLOR DE CHASNA.ITF
es2022kuklm,2022-06-03,10:33:50,27.9741,-16.289,6.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022ktekp,2022-06-02,18:22:57,28.0341,-16.2013,9.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022krrcx,2022-06-01,22:32:00,28.0812,-16.1371,6.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022krrar,2022-06-01,22:29:25,28.0277,-16.1645,12.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022krkxb,2022-06-01,19:23:19,27.986,-16.1869,15.0,,1.2,4,ATLÁNTICO-CANARIAS
es2022kqkki,2022-06-01,06:00:32,28.2308,-16.6927,12.0,,1.2,4,NE GUÍA DE ISORA.ITF
es2022kqiff,2022-06-01,04:53:58,28.2431,-16.6884,11.0,,1.3,4,NE GUÍA DE ISORA.ITF
es2022kkoze,2022-05-29,01:31:07,28.0619,-16.2725,31.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022kkniq,2022-05-29,00:41:33,28.3326,-16.7046,10.0,,1.8,4,S ICOD DE LOS VINOS.ITF
es2022kkkpu,2022-05-28,23:18:58,28.1593,-16.2115,25.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022kikgr,2022-05-27,20:52:20,28.2126,-16.6818,11.0,,0.6,4,NW VILAFLOR DE CHASNA.ITF
es2022kgvsi,2022-05-27,00:23:17,28.3484,-16.9363,17.0,,1.2,4,W BUENAVISTA DEL NORTE.ITF
es2022kfkpk,2022-05-26,05:38:34,28.0586,-16.5389,32.0,,1.2,4,SE GRANADILLA DE ABONA.ITF
es2022kfifh,2022-05-26,04:26:08,28.0721,-16.0784,5.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022kdkfi,2022-05-25,03:10:42,28.2543,-16.3608,33.0,,1.7,4,E FASNIA.ITF
es2022kdgsc,2022-05-25,01:24:30,28.0799,-16.2755,20.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022kalpq,2022-05-23,12:29:08,28.0763,-16.5647,17.0,,1.2,4,S GRANADILLA DE ABONA.ITF
es2022jztjc,2022-05-23,03:16:02,27.962,-16.2297,6.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022jzisa,2022-05-22,21:53:01,28.2672,-16.7462,24.0,,1.5,4,NE GUÍA DE ISORA.ITF
es2022jzirr,2022-05-22,21:52:39,28.2176,-16.5795,32.0,,1.7,4,NE VILAFLOR DE CHASNA.ITF
es2022jydxr,2022-05-22,06:20:05,28.2721,-16.6241,0.0,,0.5,4,S LA GUANCHA.ITF
es2022jxxfo,2022-05-22,02:57:09,28.0462,-16.2068,9.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022jwfqf,2022-05-21,04:56:03,28.2438,-16.679,12.0,,1.5,4,NE GUÍA DE ISORA.ITF
es2022jvzce,2022-05-21,01:37:51,28.3356,-16.8656,1.0,,1.2,4,SW BUENAVISTA DEL NORTE.ITF
es2022jvgrn,2022-05-20,16:19:54,28.2592,-16.7327,18.0,,1.6,4,NE GUÍA DE ISORA.ITF
es2022jtzeu,2022-05-19,23:24:54,28.17,-16.2244,33.0,,1.8,4,ATLÁNTICO-CANARIAS
es2022jsibi,2022-05-19,01:37:38,27.9598,-16.2316,6.0,,1.4,4,ATLÁNTICO-CANARIAS
es2022jrcoo,2022-05-18,09:43:15,28.0588,-16.1995,21.0,,1.5,4,ATLÁNTICO-CANARIAS
es2022jpqzk,2022-05-17,14:44:11,28.1304,-16.1633,18.0,,1.7,4,ATLÁNTICO-CANARIAS
es2022jowgo,2022-05-17,04:16:04,28.1452,-16.2201,9.0,,1.6,4,ATLÁNTICO-CANARIAS
es2022jostr,2022-05-17,02:30:09,28.1266,-16.4999,24.0,,0.9,4,SW ARICO.ITF
