yyyymmdd,hhmmss.sss,lat,lon,depth,Mw,q1,q2,nSta,nPha,ID,sourceType,Swarm,Phase
20211231,225523.000,28.6258,-17.881,2.0,1.5,0,0,0,0, es2021zqyfi,0,,4
20211231,185435.000,28.6109,-17.8643,3.0,1.0,0,0,0,0, es2021zqqgu,0,,4
20211231,150257.000,28.5606,-17.8065,11.0,2.0,0,0,0,0, es2021zqiqb,0,,4
20211231,044957.000,28.5567,-17.8435,11.0,1.2,0,0,0,0, es2021zpoke,0,,4
20211231,012153.000,28.6128,-17.9188,0.0,0.9,0,0,0,0, es2021zphnr,0,,4
20211230,232418.000,28.5582,-17.8368,12.0,2.5,0,0,0,0, es2021zpdqu,0,,3
20211230,213632.000,28.6234,-17.8825,3.0,1.7,0,0,0,0, es2021zpacj,0,,3
20211230,191958.000,28.6204,-17.8758,2.0,1.6,0,0,0,0, es2021zovpf,0,,3
20211230,182533.000,28.5573,-17.8544,16.0,1.6,0,0,0,0, es2021zotun,0,,3
20211230,182338.000,28.5645,-17.8588,14.0,1.7,0,0,0,0, es2021zotsw,0,,3
20211230,093216.000,28.622,-17.9013,1.0,1.3,0,0,0,0, es2021zocfa,0,,3
20211230,023926.000,28.5649,-17.8329,10.0,1.9,0,0,0,0, es2021znoow,0,,3
20211230,005012.000,28.6243,-17.8957,0.0,1.1,0,0,0,0, es2021znkzd,0,,3
20211229,193016.000,28.556,-17.8539,12.0,1.9,0,0,0,0, es2021znaks,0,,3
20211229,192158.000,28.5638,-17.8425,11.0,1.9,0,0,0,0, es2021znado,0,,3
20211229,112111.000,28.6177,-17.9085,1.0,2.0,0,0,0,0, es2021zmkhc,0,,3
20211229,044252.000,28.6232,-17.916,2.0,1.4,0,0,0,0, es2021zlxdj,0,,3
20211229,041853.000,28.5953,-17.8672,3.0,1.2,0,0,0,0, es2021zlwiv,0,,3
20211229,032755.000,28.6037,-17.905,3.0,1.1,0,0,0,0, es2021zlurc,0,,3
20211229,030157.000,28.5581,-17.8363,12.0,1.8,0,0,0,0, es2021zltuw,0,,3
20211229,004526.000,28.5637,-17.8367,12.0,2.0,0,0,0,0, es2021zlphs,0,,3
20211228,231752.000,28.5711,-17.8623,11.0,1.9,0,0,0,0, es2021zlmkp,0,,3
20211228,231025.000,28.5571,-17.8458,11.0,2.3,0,0,0,0, es2021zlmef,0,,3
20211228,223350.000,28.6391,-17.8905,1.0,1.0,0,0,0,0, es2021zlkyv,0,,3
20211228,220841.000,28.5612,-17.8494,12.0,1.9,0,0,0,0, es2021zlkdg,0,,3
20211228,174939.000,28.5449,-17.8473,16.0,2.0,0,0,0,0, es2021zlbpb,0,,3
20211228,174919.000,28.5658,-17.8587,15.0,1.6,0,0,0,0, es2021zlbot,0,,3
20211228,034432.000,28.6235,-17.9277,2.0,1.3,0,0,0,0, es2021zjzsa,0,,3
20211228,020050.000,28.6061,-17.8842,4.0,0.8,0,0,0,0, es2021zjwhb,0,,3
20211228,005556.000,28.6325,-17.9101,2.0,0.9,0,0,0,0, es2021zjudk,0,,3
20211227,234233.000,28.5961,-17.8859,5.0,1.0,0,0,0,0, es2021zjrsl,0,,3
20211227,230941.000,28.6147,-17.9016,12.0,1.5,0,0,0,0, es2021zjqqg,0,,3
20211227,214321.000,28.629,-17.9175,0.0,1.1,0,0,0,0, es2021zjnud,0,,3
20211227,181925.000,28.5586,-17.837,13.0,1.9,0,0,0,0, es2021zjhbf,0,,3
20211227,160622.000,28.6193,-17.8781,2.0,1.9,0,0,0,0, es2021zjcrb,0,,3
20211227,125818.000,28.6083,-17.908,2.0,1.6,0,0,0,0, es2021ziwlt,0,,3
20211227,065013.000,28.5578,-17.8423,11.0,2.3,0,0,0,0, es2021zikhz,0,,3
20211227,064535.000,28.568,-17.8478,11.9,1.7,0,0,0,0, es2021zikea,0,,3
20211227,062213.000,28.5969,-17.8964,13.3,1.5,0,0,0,0, es2021zijjy,0,,3
20211227,061005.000,28.5461,-17.8397,16.5,1.7,0,0,0,0, es2021ziizo,0,,3
20211227,041901.000,28.617,-17.9006,7.0,0.6,0,0,0,0, es2021zifig,0,,3
20211227,040717.000,28.5664,-17.8454,15.8,1.4,0,0,0,0, es2021zieyf,0,,3
20211227,035547.000,28.5482,-17.8461,17.7,1.7,0,0,0,0, es2021zieof,0,,3
20211227,035154.000,28.5627,-17.8604,17.0,1.4,0,0,0,0, es2021ziela,0,,3
20211227,035106.000,28.5596,-17.8404,17.5,1.9,0,0,0,0, es2021zieki,0,,3
20211227,034712.000,28.5619,-17.8245,17.4,1.7,0,0,0,0, es2021ziegz,0,,3
20211227,034533.000,28.5586,-17.8555,17.0,1.3,0,0,0,0, es2021ziefo,0,,3
20211227,034353.000,28.5708,-17.8839,17.6,1.3,0,0,0,0, es2021zieed,0,,3
20211227,034302.000,28.6035,-17.8887,17.0,1.2,0,0,0,0, es2021ziedk,0,,3
20211227,034125.000,28.5068,-17.8606,13.4,1.5,0,0,0,0, es2021zieca,0,,3
20211227,034015.000,28.5337,-17.8593,19.0,1.4,0,0,0,0, es2021zieba,0,,3
20211227,033749.000,28.5452,-17.8697,14.4,1.4,0,0,0,0, es2021zidyx,0,,3
20211227,033049.000,28.5528,-17.8472,12.2,1.8,0,0,0,0, es2021zidsx,0,,3
20211227,032726.000,28.5535,-17.859,13.7,1.4,0,0,0,0, es2021zidqb,0,,3
20211227,032456.000,28.5599,-17.8265,14.1,1.2,0,0,0,0, es2021zidnw,0,,3
20211227,031800.000,28.5863,-17.8733,14.9,1.6,0,0,0,0, es2021zidhy,0,,3
20211227,031124.000,28.5527,-17.8501,11.4,1.7,0,0,0,0, es2021zidcg,0,,3
20211227,015608.000,28.5824,-17.8268,6.0,0.8,0,0,0,0, es2021ziapr,0,,3
